Age,Gender,Occasion,Preferences,Hobbies,Job,Past Gifts,Price Range,Suggested Gifts
65,Female,Bachelorette,Tech,Knitting,Teacher,Candle Set,"₹5000-₹10,000",Backpack
60,Non-binary,Housewarming,Fitness,Dancing,Veterinarian,Board Game,"₹20,000+",Handbag
53,Female,Anniversary,Fashion,Painting,Musician,Candle Set,₹100-₹500,Tea Collection Set
44,Female,Baby Shower,Self-care,Singing,Politician,Skincare Set,"₹10,000-₹20,000",Jewelry
59,Non-binary,Farewell,Self-care,Baking,Stock Trader,Wireless Charger,"₹10,000-₹20,000",Sports Jersey
42,Prefer not to say,Wedding,Art,Astrophotography,Entrepreneur,Sports Jersey,"₹5000-₹10,000",Personalized Mug
52,Prefer not to say,Retirement,Books,Meditation,Artist,Gaming Console,₹500-₹2000,Leather Wallet
5,Non-binary,Bachelorette,Music,Martial Arts,Entrepreneur,Board Game,₹500-₹2000,Digital Drawing Tablet
70,Male,Milestone Hitting,Fitness,Car Collecting,Freelancer,VR Headset,₹500-₹2000,Subscription Box
55,Prefer not to say,Birthday,Self-care,Cooking,Politician,Smartwatch,"₹10,000-₹20,000",Gaming Console
78,Prefer not to say,Festival,Collectibles,Yoga,Astronomer,Personalized Mug,"₹20,000+",Headphones
57,Prefer not to say,Birthday,Collectibles,Travel Blogging,Business Owner,Wireless Charger,₹100-₹500,Candle Set
59,Other,Retirement,Productivity,Gardening,Scientist,VR Headset,"₹5000-₹10,000",Running Shoes
46,Non-binary,Bachelorette,Fashion,Yoga,Lawyer,Sports Jersey,"₹10,000-₹20,000",Succulent Plant Set
33,Female,Anniversary,Productivity,Dancing,Politician,Smartwatch,"₹10,000-₹20,000",Running Shoes
73,Male,Success,Books,Astrophotography,Scientist,Drone,₹100-₹500,Book
72,Female,Success,Eco-friendly,Painting,Biotechnologist,Coffee Maker,"₹10,000-₹20,000",Board Game
69,Prefer not to say,Anniversary,Anime & Comics,Yoga,Actor,Sunglasses,₹2000-₹5000,Bluetooth Earbuds
11,Female,Bachelorette,Anime & Comics,Martial Arts,Pilot,Jewelry,₹2000-₹5000,Headphones
72,Other,Acheivement,Travel,Gardening,Psychologist,Wireless Charger,₹500-₹2000,Handbag
45,Prefer not to say,Appreciation,Luxury,Painting,Therapist,Luxury Pen,₹500-₹2000,Board Game
32,Female,Birthday,Productivity,Astrophotography,Actor,Shoes,₹100-₹500,Camping Gear
32,Female,Festival,Art,Baking,Researcher,Jewelry,"₹10,000-₹20,000",Cooking Kit
70,Male,Graduation,Collectibles,Podcasting,Student,Sports Jersey,₹100-₹500,Skincare Set
9,Prefer not to say,Festival,Spirituality,Photography,Researcher,Skincare Set,"₹10,000-₹20,000",Jewelry
12,Other,Birthday,Fitness,Astrophotography,Researcher,Limited Edition Sneakers,"₹10,000-₹20,000",Mini Projector
6,Non-binary,Baby Shower,Self-care,Gaming,Doctor,Smartwatch,"₹5000-₹10,000",Perfume
66,Prefer not to say,Retirement,Gaming,Baking,Psychologist,Customized Notebook,"₹5000-₹10,000",Shoes
46,Male,Success,Books,Knitting,Pilot,Handbag,"₹20,000+",Smartwatch
10,Other,Housewarming,Gaming,Knitting,Stock Trader,Fitness Tracker,"₹20,000+",Customized Notebook
48,Prefer not to say,Retirement,Travel,Knitting,Therapist,Limited Edition Sneakers,"₹20,000+",Mini Projector
26,Prefer not to say,Acheivement,Collectibles,Sports,Business Owner,Customized Notebook,₹2000-₹5000,Personalized Mug
16,Male,Baby Shower,Home Decor,Dancing,Engineer,Wireless Charger,"₹20,000+",Camping Gear
